Date,Color,,,,,Reason
02/01/2024,Yellow,Clip,Cut,Pare,Trim,Make shorter
02/01/2024,Green,Built,Jacked,Ripped,Swole,Muscular
02/01/2024,Blue,Buff,Fan,Lover,Nut,Enthusiast
02/01/2024,Purple,Brain,Prune,Pug,walnut,Wrinkly things
02/02/2024,Yellow,Break,Holiday,Leave,Recess,Time off
02/02/2024,Green,Buckle,Hole,Loop,Strap,Features of a belt
02/02/2024,Blue,Holey,Holi,Holy,Wholly,Homophones
02/02/2024,Purple,Dog,Drift,Holly,Sandal,Suffix-Wood
02/03/2024,Yellow,Agency,Company,Enterprise,Firm,Commercial Organization
02/03/2024,Green,Coop,Pen,Stable,Sty,Farm fixtures
02/03/2024,Blue,Fluffy,Rex,Rover,Spot,Classic dog names
02/03/2024,Purple,Ink,Lack,Old,Range,Colors minus their first letters
02/04/2024,Yellow,Cocoa,Coffee,Mate,Tea,Drinks with caffeine
02/04/2024,Green,Boring,Dull,Mundane,Vanilla,Unexciting
02/04/2024,Blue,Act,Bit,Routine,Set,Comedian's performance
02/04/2024,Purple,Dirty,Dry,Twist,Up,Martini specifications
02/05/2024,Yellow,Brother,Lord,Please,Sheesh,"""Give me a break!"""
02/05/2024,Green,Bishop,Cardinal,Pastor,Prior,Ecclesiastical Titles
02/05/2024,Blue,Heart,Madonna,Prince,Queen,Rock and Roll Hall of Fame inductees
02/05/2024,Purple,Deli,Niece,Roam,Soul,City homophones
02/06/2024,Yellow,Bright,Flashy,Garish,Loud,"Ostentatious, as an outfit"
02/06/2024,Green,Gas,Stinker,Toot,Wind,Euphemisms for flatulence
02/06/2024,Blue,Dirty,Honey,Platinum,Strawberry,Kinds of blond
02/06/2024,Purple,Hug,Of,Oxygen,Zero,"What ""O"" might mean"
02/07/2024,Yellow,Crab,Ray,Sponge,Squid,Sea creatures
02/07/2024,Green,Circle,Diamond,Square,Triangle,Basic-dimensional shapes
02/07/2024,Blue,Bob,Cross,Hook,Weave,Boxing Maneuvers
02/07/2024,Purple,Feast,Free,Pants,That,Fancy-Suffix
02/08/2024,Yellow,Arrow,Bow,Quiver,Target,Archery equipment
02/08/2024,Green,Bridge,Gin,Spit,War,Card games
02/08/2024,Blue,Belt,Clock,Deck,Slug,Wallop
02/08/2024,Purple,Anchor,Dragon,Heart,Rose,Classic tattoos
02/09/2024,Yellow,Rewind,Shuffle,Skip,Stop,Music player buttons
02/09/2024,Green,Air,Run,Screen,Show,Broadcast
02/09/2024,Blue,Bath,Card,Curtain,Picture,Things you can draw
02/09/2024,Purple,Eon,Ether,Net,Tow,Number anagrams
02/10/2024,Yellow,Canary,Fink,Rat,Snitch,Stool pigeon
02/10/2024,Green,Jam,Pack,Squeeze,Stuff,Cram into a tight space
02/10/2024,Blue,Cat,Cow,Mountain,Triangle,Yoga poses
02/10/2024,Purple,Butter,Dragon,Fire,Horse,Prefix-Fly
02/11/2024,Yellow,Buzz,Drone,Hum,Purr,Monotonous Sounds
02/11/2024,Green,Barge,Dory,Scow,Sloop,Boats
02/11/2024,Blue,Amercia,Hook,Morgan,Nemo,Captains
02/11/2024,Purple,Auto,Bureau,Demo,Pluto,Prefix-Cracy
02/12/2024,Yellow,Drop,Echo,Freeze,Lag,Bad things for a video call to do
02/12/2024,Green,Genie,Monkey,Parrot,Princess,"Seen in ""Aladdin"""
02/12/2024,Blue,Mime,Prisoner,Referee,Sailor,Costimes with striped shirts
02/12/2024,Purple,Apollo,Candles,Fantastic,Samurai,Movies minus numbers
02/13/2024,Yellow,Egg,Goad,Spur,Urge,"Encourage, with ""on"""
02/13/2024,Green,Jawbreaker,Meatball,Mozzarella,Orange,Spherical foods
02/13/2024,Blue,Dairy,Frozen,Produce,Snack,Grocery store aisles
02/13/2024,Purple,Bananas,Figure,Fish,Steady,Go-Suffix
02/14/2024,Yellow,Brush,Graze,Kiss,Skim,Touch lightly
02/14/2024,Green,Odd,Perfect,Prime,Whole,Kinds of numbers
02/14/2024,Blue,Oysters,Plum,Soy,Xo,Sauces in Chinese Cuisine
02/14/2024,Purple,Claw,Fruit,Hug,Witness,Bear-Suffix
02/15/2024,Yellow,Monitor,Survey,Track,Watch,Follow attentively
02/15/2024,Green,Beach,Desert,Hourglass,Playground,Where you might find sand
02/15/2024,Blue,Bake,Broil,Light,Timer,Over Buttons
02/15/2024,Purple,Blur,Oasis,Pulp,Suede,Britpop Bands
02/16/2024,Yellow,Croc,Loafer,Mocassin,Slipper,Comfy Shoes
02/16/2024,Green,Boa,Headdress,Pillow,Shuttlecock,Things made with feathers
02/16/2024,Blue,Basic,Java,Python,Ruby,Programming Languages
02/16/2024,Purple,Cobra,Inspiration,Lightning,Union,Things that can strike
02/17/2024,Yellow,Curl,Lock,Ringlet,Tress,Bit of hair
02/17/2024,Green,Coverage,Exposure,Press,Publicity,Media attention
02/17/2024,Blue,Dom,Ion,Ness,Ship,Noun suffixes
02/17/2024,Purple,Family,Flea,Flying,Media,Prefix-Circus
02/18/2024,Yellow,Graze,Nibble,Peck,Snack,Eat a little
02/18/2024,Green,Hunt,Stalk,Track,Trail,Pursue
02/18/2024,Blue,Beans,Pasta,Stock,Vegetables,Ingredients in minestrone
02/18/2024,Purple,Broad,Fore,Pod,Type,Prefix-cast
02/19/2024,Yellow,Kindling,Log,Math,Tinder,Used in building a fire
02/19/2024,Green,Blow,Bumble,Fluff,Spoil,Mess up
02/19/2024,Blue,Drill,Grinder,Router,Saw,Workshop tools
02/19/2024,Purple,Frame,Handle,Hinge,Lock,Parts of a door
02/20/2024,Yellow,Bore,Drag,Drip,Dud,Party pooper
02/20/2024,Green,Brass,Rhythm,String,Wind,Musical sections
02/20/2024,Blue,Bead,Drop,Glob,Tear,Bit of liquid
02/20/2024,Purple,Beat,Charred,Leak,Pee,Vegetables homophones
02/21/2024,Yellow,Badgers,Bugs,Hounds,Nags,Pesters
02/21/2024,Green,Annie,Cabaret,Cats,Company,Tony winners for best musical
02/21/2024,Blue,Computer,Piano,Super,Tests,They have keys
02/21/2024,Purple,Fish,Hard Knocks,Rock,Thought,School of - Suffix
02/22/2024,Yellow,Bark,Growl,Howl,Whine,Dog sounds
02/22/2024,Green,Arm,Branch,Chapter,Wing,Department
02/22/2024,Blue,Cradle,Font,Root,Source,Origin
02/22/2024,Purple,Clue,Frown,Mellow,Preen,Colors with their first letters changed
02/23/2024,Yellow,Caravan,Fleet,Parade,Train,Procession
02/23/2024,Green,Forest,Lime,Mint,Olive,Shades of green
02/23/2024,Blue,Democratic,Erotic,Noble,Sad,"What ""Blue"" might mean"
02/23/2024,Purple,Book,Cactus,Hedgehog,Skeleton,Things with spines
02/24/2024,Yellow,Factory,Mill,Plant,Shop,Manufacturing locations
02/24/2024,Green,Wind,Wine,Wing,Wink,Win + letter
02/24/2024,Blue,Core,Rind,Seed,Stem,Parts of fruit you omgiht not eat
02/24/2024,Purple,Feather,Heavy,Light,Middle,Weights in boxing
02/25/2024,Yellow,Lumber,Plod,Stomp,Trudge,Walk heavily
02/25/2024,Green,Elastic,Limber,Plastic,Supple,Flexible
02/25/2024,Blue,Foil,Glove,Jacket,Mask,Fencing equipment
02/25/2024,Purple,Bassinet,Cellophane,Harpoon,Organism,Words beginning with instruments
02/26/2024,Yellow,Bitter,Salty,Sour,Sweet,Basic tastes
02/26/2024,Green,Brave,Confront,Face,Meet,"Stand up to, as a challenge"
02/26/2024,Blue,Kind,Sort,Type,Variety,Ilk
02/26/2024,Purple,Expression,Manner,Romantic,Surreal,"Art movements, prefix-ism"
02/27/2024,Yellow,Headband,Mullet,Neon,Spandex,80s fashion trends
02/27/2024,Green,Pike,Split,Straddle,Tuck,Gymnastics positions
02/27/2024,Blue,Animals,Goldfish,Oyster,Ritz,Kinds of crackers
02/27/2024,Purple,Corporate,Rope,Salmon,Word,Prefix-Ladder
02/28/2024,Yellow,American,Blue,Jacket,Swiss,"Cheeses, familiarly"
02/28/2024,Green,Hammer,Hurdle,Javelin,Pole,Track and field equipment
02/28/2024,Blue,Cuban,Kitten,Stiletto,Wedge,Kinds of heels
02/28/2024,Purple,Date,Dutch,Jeopardy,Space,Double-Suffix
02/29/2024,Yellow,Hop,Jump,Leap,Spring,Propel into the air
02/29/2024,Green,Chest,Coffer,Safe,Vault,Place to store valuables
02/29/2024,Blue,Age,Day,Era,Time,Period
02/29/2024,Purple,Drib,Flow,Reed,Tang,Animals backward
03/01/2024,Yellow,Bread,Butter,Garlic,Parsley,Garlic break ingredients
03/01/2024,Green,Bet,Gamble,Risk,Stake,Wager
03/01/2024,Blue,Adventure,Fantasy,Frontier,Tomorrow,Disneyland lands
03/01/2024,Purple,Baseball,Cricket,Fruit,Vampire,Prefix-Bat
03/02/2024,Yellow,Agent,Asset,Mole,Sleeper,Intelligence operative
03/02/2024,Green,Foot,Line,Meter,Verse,Units in poetry
03/02/2024,Blue,Couch,Imply,Intimate,Suggest,Express indirectly
03/02/2024,Purple,Kelvin,Okay,Potassium,Thousand,"What ""K"" might mean"
03/03/2024,Yellow,Mass,Sea,Slew,Ton,Large amount
03/03/2024,Green,Buckle,Cave,Collapse,Give,Fall in under pressure
03/03/2024,Blue,Shout,Snap,Wave,Whistle,Ways to get attention
03/03/2024,Purple,Button,Dance,Flop,Laugh,Belly Suffix
03/04/2024,Yellow,Hall,Library,Lounge,Study,Rooms in the game clue
03/04/2024,Green,Associate,Fellow,Partner,Peer,Colleague
03/04/2024,Blue,Bunny,Egg,Jelly bean,Peep,Seen during easter
03/04/2024,Purple,Animal,Birthmark,Spy,Unit,What a mole can be
03/05/2024,Yellow,Grande,Mars,Styles,Swift,Pop Megatars
03/05/2024,Green,Channel,Means,Medium,Vehicle,Method
03/05/2024,Blue,Outside,Remote,Slim,Small,Unlikely as chances
03/05/2024,Purple,Large,Legend,Proof,Room,Living-suffix
